date,volume_km3
2016-02-01,0.151026
2016-02-25,0.025093
2016-04-13,0.030658
2016-04-29,0.028261
2016-05-25,0.018992
2016-07-30,2.785309
2016-08-17,1.004617
2016-09-10,0.825193
2016-10-04,1.018832
2016-10-22,0.688345
2016-11-15,0.397256
2017-01-02,0.156133
2017-01-26,0.164383
2017-02-11,0.371432
2017-03-03,0.039585
2017-03-27,0.023327
2017-04-17,0.018601
2017-05-08,0.022014
2017-05-30,0.034077
2017-06-23,0.409174
2017-07-17,1.207926
2017-08-06,1.853674
2017-11-26,0.402433
2017-12-20,0.276224
2018-01-06,0.242369
2018-01-27,0.817786
2018-02-18,0.316028
2018-03-14,0.028697
2018-04-07,0.044248
2018-04-27,0.017571
2018-05-18,0.050011
2018-06-08,0.288039
2018-06-30,0.471664
2018-07-24,2.065619
2018-08-17,0.778486
2018-09-06,0.798274
2018-09-27,0.590399
2018-12-03,0.138417
2018-12-27,0.084991
2019-01-16,0.508539
2019-02-06,1.322318
2019-02-27,0.06566
2019-03-21,0.031381
2019-04-14,0.027776
2019-05-04,0.012984
2019-06-18,0.061081
2019-07-09,0.343562
2019-07-31,2.421453
2019-08-24,1.05198
2019-09-13,0.903289
2019-10-04,0.768184
2019-10-28,0.57003
2019-11-18,0.389927
2019-12-10,0.197746
2020-01-03,0.107211
2020-01-23,0.33244
2020-02-16,1.050603
2020-03-08,0.069846
2020-03-29,0.06187
2020-04-20,0.017571
2020-05-14,0.028211
2020-06-03,0.304378
2020-06-27,1.069236
2020-07-18,3.417817
2020-08-08,2.18892
2020-08-30,1.11984
2020-09-23,1.789121
2020-10-13,1.272571
2020-11-06,0.608792
2020-11-27,0.285081
2020-12-18,0.370109
2021-01-09,0.255643
2021-02-02,1.088151
2021-02-26,0.063228
2021-03-18,0.077483
2021-04-08,0.042313
2021-04-29,0.014528
2021-05-21,0.032785
2021-06-14,0.251103
2021-07-08,1.569156
2021-07-28,1.885874
2021-08-18,1.231779
2021-09-08,0.906379
2021-10-02,0.653832
2021-10-24,0.486893
2021-11-17,0.261846
2021-12-07,0.134875
2021-12-28,0.135487
2022-01-18,0.335625
2022-02-11,0.685684
2022-03-05,0.09923
2022-03-29,0.034362
2022-04-18,0.011551
2022-05-09,0.013408
2022-05-30,0.084009
2022-06-25,1.194799
2022-07-17,0.85014
2022-08-08,1.736176
2022-08-12,2.247263
2022-08-20,1.038938
2022-08-26,0.615616
2022-09-03,0.609769
2022-09-09,0.666679
2022-09-27,0.654515
2022-09-30,0.694667
2022-10-07,0.619002
2022-10-14,0.622311
2022-10-21,0.635485
2022-10-28,0.761614
2022-11-04,0.483119
2022-11-11,0.410407
2022-11-18,0.224204
2022-12-02,0.123008
2022-12-09,0.12831
2022-12-16,0.127062
2022-12-23,0.090718
2023-02-01,0.486645
2023-02-03,0.451327
2023-02-10,0.355687
2023-02-17,0.490332
2023-02-24,0.169145
2023-03-03,0.100925
2023-03-10,0.061451
2023-03-17,0.053357
2023-03-24,0.102748
2023-04-14,0.024259
2023-04-21,0.031497
2023-06-16,0.014881
2023-06-23,0.034598
2023-09-15,0.764883
2023-09-22,0.616869
2023-09-29,0.565362
2023-10-06,0.765355
2023-10-13,0.86662
2023-10-20,0.67009
2023-10-27,0.602697
2023-11-03,0.429896
2023-11-10,0.370169
2023-11-17,0.291892
2023-11-24,0.236241
2023-12-01,0.206854
2023-12-08,0.180909
2023-12-15,0.141793
2023-12-22,0.122278
2023-12-29,0.116957
2024-01-12,0.064862
2024-01-19,0.151528
2024-01-26,0.37556
2024-02-02,0.537581
2024-02-09,0.846399
2024-02-16,0.699595
2024-02-23,0.663586
2024-03-01,0.119641
2024-03-08,0.087528
2024-03-15,0.107787
2024-03-22,0.058854
2024-03-29,0.035175
2024-04-05,0.020275
2024-04-12,0.028569
2024-04-19,0.029579
2024-04-26,0.023686
2024-05-03,0.020366
2024-05-10,0.012206
2024-05-17,0.012048
2024-05-24,0.008508
2024-05-31,0.008321
2024-06-07,0.01197
2024-06-14,0.01522
2024-06-21,0.034059
2024-06-28,0.138745
2024-09-15,0.554396
2024-09-20,0.465739
2024-09-27,0.501386
2024-10-04,0.629578
2024-10-11,0.745719
2024-10-18,0.631316
2024-10-25,0.521058
2024-11-01,0.532894
2024-11-08,0.370543
2024-11-15,0.335249
2024-11-22,0.246615
2024-11-29,0.194025
2024-12-06,0.145812
2024-12-13,0.14223
2024-12-20,0.11781
2024-12-27,0.104342
2025-01-03,0.103528
2025-01-10,0.106487
2025-01-17,0.102787
2025-01-24,0.216092
2025-01-31,0.411606
2025-02-07,0.581086
2025-02-14,0.711864
2025-02-21,0.70364
2025-06-19,0.378037
2025-06-20,0.345824
2025-06-27,0.247064
2025-07-04,0.26881
2025-07-11,0.249252
2025-07-18,0.566322
2025-07-25,1.263226
2025-08-01,2.153151
2025-08-08,2.874549
2025-08-15,2.412
2025-08-22,1.754256
2025-08-29,1.403838
2025-09-05,1.016205
2025-09-12,0.858226
2025-09-19,0.742899
2025-09-26,0.780041
